Sl.No,City,State,Charger Name,Address,Latitude,Longitude,Pincode,Charger Type,Qty,Mobile App,CPO Name,Make of Charger
24,Palakkad,Kerala,KSEB DC Vadakkenchery,"Near KSEB Sub Station, Vadakkanchery, Palakkad",10.597953,76.479818,678683,CHAdeMO 60kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,CCS 2 30kW,1,chargeMOD,KSEB,Okaya
25,Ernakulam,Kerala,KSEB DC Muvattupuzha,"Near KSEB Sub Station, Pezhakkappilly, Ernakulam",10.015961,76.565445,686674,CCS 2 30kW,2,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Tirex
26,Kottayam,Kerala,KSEB DC Gandhi Nagar,"Medical College Rd, Gandhi Nagar, Arpookara, Kottayam",9.632747,76.524427,686008,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,Level 1 3.3kW,3,chargeMOD,KSEB,Tirex
27,Idukki,Kerala,KSEB DC Moolamattam,"Near KSEB Section Office, Moolamattom, Idukki",9.788973,76.85397,685589,,,,KSEB,Tirex
28,Kasargod,Kerala,KSEB DC Kanjangad,"Near 110kV Sub Station, Mavungal, Kanhangad, Kasargod",12.342456,75.112643,671531,CCS 2 30kW,2,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,Level 1 3.3kW,3,chargeMOD,KSEB,Tirex
29,Malappuram,Kerala,KSEB DC Tirur,"Thazhepalam, Tirur, Malappuram",10.916269,75.918271,676101,CCS 2 30kW,2,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,Level 1 3.3kW,3,chargeMOD,KSEB,Tirex
30,Idukki,Kerala,KSEB DC Munnar,"MSA Rd, Moolakadai, Munnar, Idukki",10.069388,77.061261,685612,CCS 2 30kW,2,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Tirex
31,Palakkad,Kerala,KSEB DC Shornur,"Palakkad - Ponnani Rd, Kulappully, Palakkad",10.779782,76.285377,679122,CCS 2 30kW,2,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,Level 1 3.3kW,3,chargeMOD,KSEB,Tirex
32,Wayanad,Kerala,KSEB DC Vaithiri,"Near KSEB Section, Vythiri, Wayanad",11.545852,76.039386,673576,CCS 2 30kW,2,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,Level 1 3.3kW,3,chargeMOD,KSEB,Tirex
33,Ernakulam,Kerala,KSEB DC Vyttila,"Opposite KSEB Sub Station, Vyttila, Ernakulam",9.96288,76.319297,682019,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
34,Ernakulam,Kerala,KSEB DC Kaloor,"Near JLN Metro Station, Kaloor, Ernakulam",10.000251,76.298403,682017,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
